ID,City,Lat,Long,Hub
1,ATL,33.749,-84.388,LGA
2,BWI,37.2904,-76.6122,LGA
3,BOS,42.3601,-71.0589,LGA
4,ORD,41.8781,-87.6298,LGA
5,CVG,39.1031,-84.512,LGA
6,CLE,41.4993,-81.6944,LGA
7,DFW,32.7767,-96.797,LGA
8,DEN,39.7392,-104.9903,LAX
9,DET,43.7314,-83.0458,LGA
10,IAH,29.7604,-95.3698,LGA
11,MCI,39.0997,-94.5786,ORD
12,LAX,34.0522,-118.2437,LGA
13,MEM,35.1495,-90.049,ORD
14,MIA,25.7617,-80.1918,LGA
15,MSP,44.9778,-93.265,ORD
16,MSY,29.9511,-90.0715,LGA
17,LGA,40.7128,-74.006,ORD
18,PHL,39.9526,-74.1652,ORD
19,PHX,33.4484,-112.074,LAX
20,PIT,39.4406,-77.9959,LGA
21,STL,38.627,-90.1994,ORD
22,SFO,37.6213,-122.379,LAX
23,SEA,47.6062,-122.3321,LAX
24,TPA,27.9506,-82.4572,LGA
25,DCA,35.5072,-76.0369,LGA
